,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
219,2,Ice Age: The Meltdown,Fox,195330621,3969,68033544,3964,3/31/06,Ice Age,2006
220,3,Ice Age,Fox,176387405,3345,46312454,3316,3/15/02,Ice Age,2002
221,4,Ice Age: Continental Drift,Fox,161321843,3886,46629259,3881,7/13/12,Ice Age,2012
222,5,Ice Age: Collision Course,Fox,64063008,3997,21373064,3992,7/22/16,Ice Age,2016
223,1,Incredibles 2,BV,448265980,4410,182687905,4410,6/15/18,The Incredibles,2018
224,2,The Incredibles,BV,261441092,3933,70467623,3933,11/5/04,The Incredibles,2004
225,1,Independence Day,Fox,306169268,2977,50228264,2882,7/3/96,Independence Day,1996
226,2,Independence Day: Resurgence,Fox,103144286,4130,41039944,4130,6/24/16,Independence Day,2016
227,1,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,4264,100137835,4260,5/22/08,Indiana Jones,2008
228,2,Raiders of the Lost Ark,Par.,212222025,1078,8305823,1078,6/12/81,Indiana Jones,1981
229,3,Indiana Jones and the Last Crusade,Par.,197171806,2327,29355021,2327,5/24/89,Indiana Jones,1989
230,4,Indiana Jones and the Temple of Doom,Par.,179870271,1687,25337110,1687,5/23/84,Indiana Jones,1984
231,1,Insidious Chapter 2,FD,83586447,3155,40272103,3049,9/13/13,Insidious,2013
232,2,Insidious: The Last Key,Uni.,67347895,3150,29581355,3116,1/5/18,Insidious,2018
233,3,Insidious,FD,54009150,2419,13271464,2408,4/1/11,Insidious,2011
234,4,Insidious Chapter 3,Focus,52218558,3014,22692741,3002,6/5/15,Insidious,2015
235,1,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Iron Man,2013
236,2,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Iron Man,2008
237,3,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Iron Man,2010
238,1,Harry Potter and the Deathly Hallows Part 2,WB,381011219,4375,169189427,4375,7/15/11,J.K. Rowling's Wizarding World,2011
